Datetime,Price,Volume
2025-07-01 09:30,150.5,6191
2025-07-01 09:45,150.36,6734
2025-07-01 10:00,149.44,6578
2025-07-01 10:15,149.32,9322
2025-07-01 10:30,148.85,6311
2025-07-01 10:45,149.39,6051
2025-07-01 11:00,148.82,7396
2025-07-01 11:15,147.9,9666
2025-07-01 11:30,146.88,3747
2025-07-01 11:45,147.2,1189
2025-07-01 12:00,147.42,2899
2025-07-01 12:15,146.65,8734
2025-07-01 12:30,146.63,4556
2025-07-01 12:45,146.98,4890
2025-07-01 13:00,146.46,6393
2025-07-01 13:15,148.37,9792
2025-07-01 13:30,147.77,7235
2025-07-01 13:45,147.48,6486
2025-07-01 14:00,148.43,1775
2025-07-01 14:15,150.01,9226
2025-07-01 14:30,149.78,4943
2025-07-01 14:45,150.17,8555
2025-07-01 15:00,150.38,4843
2025-07-01 15:15,148.42,8989
2025-07-01 15:30,146.24,1995
2025-07-01 15:45,145.19,8629
2025-07-02 09:30,144.18,9529
2025-07-02 09:45,142.6,1878
2025-07-02 10:00,142.14,5859
2025-07-02 10:15,143.2,7331
2025-07-02 10:30,142.07,3062
2025-07-02 10:45,142.2,1064
2025-07-02 11:00,142.16,3027
2025-07-02 11:15,141.88,3695
2025-07-02 11:30,142.91,6892
2025-07-02 11:45,143.85,4561
2025-07-02 12:00,143.01,7278
2025-07-02 12:15,142.7,9392
2025-07-02 12:30,141.19,8215
2025-07-02 12:45,142.29,3454
2025-07-02 13:00,143.5,3731
2025-07-02 13:15,144.73,9154
2025-07-02 13:30,142.69,9110
2025-07-02 13:45,143.76,4840
2025-07-02 14:00,142.83,7938
2025-07-02 14:15,143.61,5488
2025-07-02 14:30,142.99,8035
2025-07-02 14:45,143.33,2484
2025-07-02 15:00,143.48,8408
2025-07-02 15:15,143.36,9755
2025-07-02 15:30,145.16,8574
2025-07-02 15:45,145.74,7374
2025-07-03 09:30,147.22,2059
2025-07-03 09:45,146.7,7668
2025-07-03 10:00,146.49,4157
2025-07-03 10:15,146.06,6915
2025-07-03 10:30,146.98,4627
2025-07-03 10:45,147.3,6450
2025-07-03 11:00,146.53,6592
2025-07-03 11:15,146.17,8392
2025-07-03 11:30,147.02,7776
2025-07-03 11:45,145.71,6864
2025-07-03 12:00,144.84,6530
2025-07-03 12:15,144.33,5413
2025-07-03 12:30,143.94,1663
2025-07-03 12:45,143.65,2998
2025-07-03 13:00,143.16,2495
2025-07-03 13:15,142.59,4304
2025-07-03 13:30,141.93,7585
2025-07-03 13:45,141.79,2291
2025-07-03 14:00,141.77,8280
2025-07-03 14:15,140.09,2636
2025-07-03 14:30,140.15,1854
2025-07-03 14:45,142.62,9164
2025-07-03 15:00,143.85,6249
2025-07-03 15:15,142.43,6172
2025-07-03 15:30,142.77,6535
2025-07-03 15:45,142.76,5931
2025-07-04 09:30,142.55,9958
2025-07-04 09:45,141.86,5389
2025-07-04 10:00,143.26,1197
2025-07-04 10:15,141.86,8125
2025-07-04 10:30,140.98,9800
2025-07-04 10:45,141.05,5282
2025-07-04 11:00,142.76,7546
2025-07-04 11:15,143.63,2986
2025-07-04 11:30,143.1,2734
2025-07-04 11:45,144.19,2843
2025-07-04 12:00,144.05,7694
2025-07-04 12:15,144.67,3385
2025-07-04 12:30,145.15,9120
2025-07-04 12:45,146.08,7616
2025-07-04 13:00,146.28,1262
2025-07-04 13:15,144.84,7287
2025-07-04 13:30,145.07,3049
2025-07-04 13:45,146.37,6423
2025-07-04 14:00,146.44,8158
2025-07-04 14:15,146.94,8400
2025-07-04 14:30,148.24,2154
2025-07-04 14:45,147.37,5499
2025-07-04 15:00,147.62,2648
2025-07-04 15:15,147.97,6539
2025-07-04 15:30,148.19,3557
2025-07-04 15:45,149.04,6592
2025-07-07 09:30,149.21,3869
2025-07-07 09:45,148.0,1956
2025-07-07 10:00,148.73,7944
2025-07-07 10:15,147.78,5493
2025-07-07 10:30,148.94,7015
2025-07-07 10:45,148.12,2218
2025-07-07 11:00,148.94,5555
2025-07-07 11:15,150.83,9050
2025-07-07 11:30,149.52,2693
2025-07-07 11:45,150.24,4436
2025-07-07 12:00,151.15,1225
2025-07-07 12:15,151.12,5893
2025-07-07 12:30,152.48,6600
2025-07-07 12:45,153.65,8996
2025-07-07 13:00,156.44,8679
2025-07-07 13:15,156.41,9208
2025-07-07 13:30,156.39,2069
2025-07-07 13:45,156.59,4444
2025-07-07 14:00,156.91,2060
2025-07-07 14:15,157.42,3327
2025-07-07 14:30,158.03,1606
2025-07-07 14:45,156.08,4170
2025-07-07 15:00,155.13,2184
2025-07-07 15:15,154.53,4327
2025-07-07 15:30,152.22,6854
2025-07-07 15:45,151.95,7709
2025-07-08 09:30,152.58,4863
2025-07-08 09:45,154.34,8455
2025-07-08 10:00,153.19,8806
2025-07-08 10:15,154.58,1154
2025-07-08 10:30,153.56,9096
2025-07-08 10:45,152.37,8560
2025-07-08 11:00,151.42,6596
2025-07-08 11:15,152.8,6801
2025-07-08 11:30,153.31,9716
2025-07-08 11:45,153.83,7971
2025-07-08 12:00,154.34,5780
2025-07-08 12:15,158.19,3368
2025-07-08 12:30,158.03,7002
2025-07-08 12:45,157.34,7614
2025-07-08 13:00,157.41,6919
2025-07-08 13:15,157.0,1853
2025-07-08 13:30,156.09,2148
2025-07-08 13:45,155.63,7293
2025-07-08 14:00,155.22,5777
2025-07-08 14:15,155.3,4854
2025-07-08 14:30,154.41,4124
2025-07-08 14:45,154.07,6691
2025-07-08 15:00,154.62,6315
2025-07-08 15:15,153.35,5869
2025-07-08 15:30,153.39,5142
2025-07-08 15:45,152.74,7966
2025-07-09 09:30,152.64,6177
2025-07-09 09:45,152.15,9932
2025-07-09 10:00,153.93,2664
2025-07-09 10:15,153.25,2081
2025-07-09 10:30,153.14,8805
2025-07-09 10:45,153.97,6237
2025-07-09 11:00,154.91,4343
2025-07-09 11:15,156.18,5070
2025-07-09 11:30,155.39,8004
2025-07-09 11:45,157.32,9130
2025-07-09 12:00,156.59,8253
2025-07-09 12:15,155.31,3744
2025-07-09 12:30,154.63,3141
2025-07-09 12:45,154.36,7617
2025-07-09 13:00,151.12,8421
2025-07-09 13:15,150.1,5452
2025-07-09 13:30,151.73,3849
2025-07-09 13:45,150.3,8390
