Datetime,Discharge
2019-05-01 00:00,16200
2019-05-01 00:15,16200
2019-05-01 00:30,16000
2019-05-01 00:45,16200
2019-05-01 01:00,16100
2019-05-01 01:15,16100
2019-05-01 01:30,16100
2019-05-01 01:45,16100
2019-05-01 02:00,16100
2019-05-01 02:15,16000
2019-05-01 02:30,16000
2019-05-01 02:45,16000
2019-05-01 03:00,15900
2019-05-01 03:15,15900
2019-05-01 03:30,15800
2019-05-01 03:45,15800
2019-05-01 04:00,15800
2019-05-01 04:15,15800
2019-05-01 04:30,15800
2019-05-01 04:45,15600
2019-05-01 05:00,15700
2019-05-01 05:15,15700
2019-05-01 05:30,15600
2019-05-01 05:45,15600
2019-05-01 06:00,15600
2019-05-01 06:15,15600
2019-05-01 06:30,15500
2019-05-01 06:45,15500
2019-05-01 07:00,15400
2019-05-01 07:15,15400
2019-05-01 07:30,15500
2019-05-01 07:45,15400
2019-05-01 08:00,15400
2019-05-01 08:15,15300
2019-05-01 08:30,15400
2019-05-01 08:45,15300
2019-05-01 09:00,15200
2019-05-01 09:15,15100
2019-05-01 09:30,15100
2019-05-01 09:45,15100
2019-05-01 10:00,15100
2019-05-01 10:15,15100
2019-05-01 10:30,15000
2019-05-01 10:45,15000
2019-05-01 11:00,14800
2019-05-01 11:15,14900
2019-05-01 11:30,14900
2019-05-01 11:45,14800
2019-05-01 12:00,14700
2019-05-01 12:15,14600
2019-05-01 12:30,14600
2019-05-01 12:45,14500
2019-05-01 13:00,14500
2019-05-01 13:15,14500
2019-05-01 13:30,14300
2019-05-01 13:45,14300
2019-05-01 14:00,14200
2019-05-01 14:15,14200
2019-05-01 14:30,14000
2019-05-01 14:45,14000
2019-05-01 15:00,13900
2019-05-01 15:15,13900
2019-05-01 15:30,13700
2019-05-01 15:45,13700
2019-05-01 16:00,13600
2019-05-01 16:15,13500
2019-05-01 16:30,13500
2019-05-01 16:45,13400
2019-05-01 17:00,13300
2019-05-01 17:15,13200
2019-05-01 17:30,13100
2019-05-01 17:45,13200
2019-05-01 18:00,13100
2019-05-01 18:15,13000
2019-05-01 18:30,12800
2019-05-01 18:45,12800
2019-05-01 19:00,12600
2019-05-01 19:15,12700
2019-05-01 19:30,12600
2019-05-01 19:45,12500
2019-05-01 20:00,12400
2019-05-01 20:15,12400
2019-05-01 20:30,12300
2019-05-01 20:45,12200
2019-05-01 21:00,12100
2019-05-01 21:15,12100
2019-05-01 21:30,12000
2019-05-01 21:45,11900
2019-05-01 22:00,11900
2019-05-01 22:15,11800
2019-05-01 22:30,11700
2019-05-01 22:45,11600
2019-05-01 23:00,11500
2019-05-01 23:15,11400
2019-05-01 23:30,11400
2019-05-01 23:45,11400
2019-05-02 00:00,11300
2019-05-02 00:15,11200
2019-05-02 00:30,11100
2019-05-02 00:45,11000
2019-05-02 01:00,10900
2019-05-02 01:15,10900
2019-05-02 01:30,10700
2019-05-02 01:45,10700
2019-05-02 02:00,10500
2019-05-02 02:15,10500
2019-05-02 02:30,10400
2019-05-02 02:45,10300
2019-05-02 03:00,10200
2019-05-02 03:15,10100
2019-05-02 03:30,10100
2019-05-02 03:45,9990
2019-05-02 04:00,9930
2019-05-02 04:15,9730
2019-05-02 04:30,9770
2019-05-02 04:45,9710
2019-05-02 05:00,9550
2019-05-02 05:15,9580
2019-05-02 05:30,9450
2019-05-02 05:45,9420
2019-05-02 06:00,9300
2019-05-02 06:15,9340
2019-05-02 06:30,9270
2019-05-02 06:45,9190
2019-05-02 07:00,9270
2019-05-02 07:15,9150
2019-05-02 07:30,9150
2019-05-02 07:45,9150
2019-05-02 08:00,9080
2019-05-02 08:15,9040
2019-05-02 08:30,9060
2019-05-02 08:45,9100
2019-05-02 09:00,9040
2019-05-02 09:15,9040
2019-05-02 09:30,9040
2019-05-02 09:45,8960
2019-05-02 10:00,8980
2019-05-02 10:15,9040
2019-05-02 10:30,8980
2019-05-02 10:45,9020
2019-05-02 11:00,8980
2019-05-02 11:15,8910
2019-05-02 11:30,8960
2019-05-02 11:45,8850
2019-05-02 12:00,8960
2019-05-02 12:15,8910
2019-05-02 12:30,8940
2019-05-02 12:45,8960
2019-05-02 13:00,8940
2019-05-02 13:15,8940
2019-05-02 13:30,8870
2019-05-02 13:45,8850
2019-05-02 14:00,8920
2019-05-02 14:15,8870
